SupportMessage,Cleaned_Text,SupportCategory
"Voice commands worked yesterday, but today the speaker says device unavailable.",voic command work yesterday today speaker say devic unavail,Voice_Assistant
The app did not notify me when the back door opened.,app notifi back door open,Security_Alert
"My smart light stopped working after two weeks, and I need a warranty replacement.",smart light stop work two week need warranti replac,Warranty_Return
"Voice commands worked yesterday, but today the speaker says device unavailable.",voic command work yesterday today speaker say devic unavail,Voice_Assistant
The light works near the router but fails in the bedroom in Brampton. #HomeIQ,light work near router fail bedroom brampton homeiq,Connectivity
The thermostat report helped me lower energy use during the week.,thermostat report help lower energi use week,Energy_Saving
Can someone explain how to pair the hub before mounting the sensor?,someon explain pair hub mount sensor,Installation
Can I return the camera if it does not work with my Wi-Fi?,return camera work wi fi,Warranty_Return
The schedule feature works well and reduced heating at night.,schedul featur work well reduc heat night,Energy_Saving
"HomeIQ approved my warranty claim, but I have not received the replacement device.",homeiq approv warranti claim receiv replac devic,Warranty_Return
